id,value
id_0,6.7111314406508145
id_1,18.15205989872699
id_2,23.3388116701916
id_3,7.7203956631842985
id_4,27.049896844051172
id_5,22.24973166039442
id_6,23.827222273116675
id_7,30.450304651059927
id_8,16.891653092407886
id_9,59.70543871075464
id_10,11.684313950019927
id_11,9.379993344277356
id_12,63.57442431870991
id_13,53.2277275099125
id_14,22.19827115672257
id_15,12.118654540819769
id_16,32.515976828339625
id_17,66.65553233512048
id_18,-0.3737617166642544
id_19,17.183811927437606
id_20,41.656340431040874
id_21,72.10143275183073
id_22,9.41522072355827
id_23,17.687970128802398
id_24,14.780822932682167
id_25,37.5616195864625
id_26,14.635424692563223
id_27,70.36273291225919
id_28,7.292526225077927
id_29,55.43097774256236
id_30,24.394120896015696
id_31,8.451724901304594
id_32,2.5091876683200187
id_33,18.810670021449017
id_34,27.83395212834271
id_35,37.27116108743955
id_36,43.33438688847156
id_37,29.842026175376237
id_38,42.16989293646226
id_39,35.171721351886575
id_40,7.691878079362133
id_41,41.302018613385144
id_42,30.585572863098832
id_43,50.9310424604912
id_44,17.519113094718893
id_45,35.35241191313153
id_46,24.62987856145738
id_47,9.616616677286151
id_48,26.75465332885123
id_49,32.227193645663505
id_50,20.11101248802296
id_51,7.995543836607921
id_52,20.513159089442507
id_53,52.73375819016765
id_54,15.910847578753488
id_55,36.61685722765925
id_56,32.790361988086715
id_57,20.773899737479823
id_58,57.386639676186604
id_59,22.672134550616956
id_60,14.309601461712798
id_61,41.83948638651869
id_62,12.530872500770581
id_63,48.402953900726025
id_64,14.309146845374231
id_65,15.138111371844554
id_66,14.446794791090753
id_67,-0.8717970674230673
id_68,43.78888940267963
id_69,29.126860847299266
id_70,20.05155516784408
id_71,41.817399055449776
id_72,60.854768102010084
id_73,5.403660097688151
id_74,16.43391665816007
id_75,3.518987124092777
id_76,40.679601704270965
id_77,13.988693359211908
id_78,21.5571179310505
id_79,21.09850522020458
id_80,23.989967555922163
id_81,36.12554578701844
id_82,21.74577695382865
id_83,92.42607910161756
id_84,37.26922976316744
id_85,27.885781799998806
id_86,21.989313667747435
id_87,33.7520756805189
id_88,23.418906913750448
id_89,19.87507956880594
id_90,28.828257623382186
id_91,41.53534168828797
id_92,4.689860005686857
id_93,38.85354792728269
id_94,45.921986494961
id_95,16.40715920219361
id_96,31.70694089906531
id_97,13.033800498802607
id_98,23.526351023867555
id_99,4.571982507320876
id_100,18.149356023230677
id_101,26.38403827410187
id_102,14.064809953333768
id_103,15.87032230995954
id_104,23.928208079550895
id_105,39.68123670040114
id_106,31.5243373197148
id_107,6.357178227589332
id_108,6.0658946994093625
id_109,78.40984324532467
id_110,48.070786546614265
id_111,17.027801596986876
id_112,27.824620008078355
id_113,15.26366412344469
id_114,13.600672327442991
id_115,24.980357259036346
id_116,26.610430557873705
id_117,10.430396116308248
id_118,17.759362735771166
id_119,19.428389461036303
id_120,80.65741813533832
id_121,25.651123034732116
id_122,37.35544481332223
id_123,25.248809040654557
id_124,7.374335989829083
id_125,38.43755845402878
id_126,9.074454965435217
id_127,21.953538205127483
id_128,29.03873155380073
id_129,62.80316881964266
id_130,21.69832306136015
id_131,23.153857634375363
id_132,59.202267886072136
id_133,15.162043753236752
id_134,14.189391733328655
id_135,2.722590581714673
id_136,12.42970268037814
id_137,58.6736444858029
id_138,20.419202756885767
id_139,5.383730113635932
id_140,29.066180650931035
id_141,25.316432271060886
id_142,45.29876670596804
id_143,30.85543762595279
id_144,18.300392199479198
id_145,26.06533872290069
id_146,12.069724032951559
id_147,51.97958323249006
id_148,23.707138221914125
id_149,38.39350484320134
id_150,10.241715145966827
id_151,8.105134928346065
id_152,23.564824006937748
id_153,6.366685755754062
id_154,15.176753904547892
id_155,41.248053819602525
id_156,7.832162770089969
id_157,36.24292661001958
id_158,11.005983677522872
id_159,18.62297540100879
id_160,41.488043062363126
id_161,19.371576741414152
id_162,13.212789261560358
id_163,7.926829493939141
id_164,52.61235204406401
id_165,31.09557312311029
id_166,-0.31843559624047346
id_167,16.39468275317839
id_168,63.68730934621866
id_169,14.33071483807689
id_170,63.715813111859475
id_171,39.36425429340963
id_172,26.833741009410055
id_173,20.44410344068413
